longname, locationtype, shortname
Staircase Intersection 10 Level 2,STAI,Stair B1002
Staircase H1 Floor 1,STAI,Stair H1
Staircase H2 Floor 1,STAI,Stair H2
Staircase J1 Floor 1,STAI,Stair J1
Staircase K1 Floor 1,STAI,Stair K1
Staircase1 Floor2,STAI,Staircase1
Staircase2 Floor2,STAI,Staircase2
Staircase3 Floor2,STAI,Staircase3
Staircase4 Floor2,STAI,Staircase4
Staircase5 Floor2,STAI,Staircase5
Staircase6 Floor2,STAI,Staircase6
Staircase7 Floor2,STAI,Staircase7
Staircase8 Floor2,STAI,Staircase8
Stairs Floor 2,STAI,Stairs Floor 2
Lobby Shattuck Street Stairs,STAI,Stairway F00101
Stairwell 1 Floor 3,STAI,Stairwell
Stairwell 1 Floor 2,STAI,Stairwell 0102
Stairwell 2 Tower Floor 2,STAI,Stairwell 0202
The Porch Node 16 Floor 3,SERV,The Porch
Thoracic Surgery Clinic Floor 2,DEPT,Thoracic Surgery Clinic
Tower Medical Cashier,SERV,Tower Cashier
Tower Lobby Entrance 1,HALL,Tower Entrance
Tower Hallway Entrance,HALL,Tower Entrance 2
Tower Stairway 1,STAI,Tower Stairs 1
75 Lobby Valet Cashier,SERV,Valet Cashier
Vending Machine Floor 2?,RETL,Vending Machine
Lobby Vending Machine,RETL,VM Lobby
Waiting Room 1 Floor 1,DEPT,Wait 1
Waiting room? Node 7 Floor 2,DEPT,Waiting Area Shapiro Floor 2
Waiting Room Floor 2,DEPT,Waiting Room
Watkins A Node 24 Floor 2 Floor 2,DEPT,Watkins A
Watkins B Node 35 Floor 2,DEPT,Watkins B
Watkins Clinic C Node 14 Floor 3,DEPT,Watkins Clinic C
Wound and Ambulatory 1,DEPT,WCCAT 1
Ambulatory X-Ray Floor 1,LABS,X-Ray 1
Zinner Breakout Room MapNode 19 Floor 1,DEPT,Zinner Breakout Room
